-999	WindowSize
1	MAFConvert
11503	NumberOfSNPs
650	NumberOfIndividuals
SET#	OFFSET	SET_ID	SET_SIZE
1	0	A4GALT	41
2	7219	ACO2	21
3	10928	ACR	8
4	12343	ADM2	4
5	13050	ADORA2A-AS1	16
6	15867	ADRBK2	37
7	22384	ADSL	15
8	25027	AIFM3	28
9	29964	ALG12	15
10	32609	ANKRD54	5
11	33490	AP1B1	32
12	39128	AP1B1P1	1
13	39305	APOBEC3A	9
14	40892	APOBEC3B	5
15	41777	APOBEC3B-AS1	2
16	42130	APOBEC3C	9
17	43719	APOBEC3D	11
18	45662	APOBEC3F	12
19	47779	APOBEC3G	16
20	50602	APOBEC3H	18
21	53771	APOL1	86
22	68948	APOL2	32
23	74585	APOL3	42
24	81982	APOL4	24
25	86208	APOL5	28
26	91141	APOL6	20
27	94667	ARFGAP3	30
28	99962	ARHGAP8	97
29	117039	ARSA	28
30	121970	ARVCF	38
31	128667	ASCC2	28
32	133606	ASPHD2	5
33	134487	ATP6V1E1	11
34	136424	ATXN10	62
35	147345	BAIAP2L2	9
36	148930	BCL2L13	29
37	154043	BCR	46
38	162152	BCRP2	4
39	162857	BID	31
40	168316	BIK	12
41	170429	BMS1P20	2
42	170782	BPIFC	46
43	178882	BRD1	14
44	181350	C1QTNF6	24
45	185580	C22orf15	2
46	185933	C22orf23	3
47	186462	C22orf24	9
48	188047	C22orf31	10
49	189810	C22orf34	238
50	231701	C22orf39	4
51	232406	C22orf42	10
52	234172	C22orf46	7
53	235407	CABIN1	57
54	245459	CABP7	17
55	248464	CACNA1I	48
56	256925	CACNG2	52
57	266080	CARD10	29
58	271191	CBX6	16
59	274008	CBX7	12
60	276121	CBY1	4
61	276826	CCDC116	19
62	280173	CCDC117	9
63	281760	CCDC134	8
64	283175	CCDC157	10
65	284938	CCT8L2	14
66	287409	CDC42EP1	20
67	290936	CDC45	19
68	294287	CDPF1	6
69	295344	CECR1	66
70	306967	CECR2	106
71	325634	CECR3	33
72	331443	CECR5	18
73	334612	CECR6	21
74	338313	CECR7	11
75	340250	CECR9	13
76	342539	CELSR1	137
77	366676	CENPM	11
78	368615	CERK	49
79	377248	CHADL	10
80	379015	CHCHD10	1
81	379192	CHEK2	51
82	388175	CHKB	10
83	389940	CLDN5	40
84	396985	CLTCL1	59
85	407394	COMT	51
86	416379	CPT1B	21
87	420084	CRELD2	13
88	422377	CRKL	7
89	423610	CRYBA4	7
90	424843	CRYBB1	6
91	425902	CRYBB2	29
92	431007	CRYBB2P1	27
93	435760	CRYBB3	16
94	438579	CSDC2	3
95	439108	CSF2RB	40
96	446159	CSNK1E	23
97	450210	CYB5R3	24
98	454439	CYP2D6	192
99	488280	CYTH4	35
100	494447	DDTL	5
101	495330	DDX17	10
102	497095	DENND6B	19
103	500452	DEPDC5	29
104	505563	DERL3	18
105	508736	DESI1	3
106	509265	DGCR14	25
107	513673	DGCR2	27
108	518430	DGCR6	4
109	519135	DGCR6L	3
110	519666	DGCR8	9
111	521253	DMC1	14
112	523720	DNAJB7	22
113	527608	DNAL4	7
114	528841	DRG1	9
115	530432	DRICH1	29
116	535537	DUSP18	11
117	537476	EFCAB6	78
118	551217	EIF3D	14
119	553684	EIF3L	11
120	555625	EIF4ENIF1	20
121	559156	ELFN2	46
122	567264	EMID1	31
123	572725	ENTHD1	30
124	578012	EP300	43
125	585599	EWSR1	15
126	588247	FAM109B	4
127	588952	FAM118A	19
128	592303	FAM19A5	216
129	630326	FAM227A	16
130	633143	FAM83F	16
131	635961	FBLN1	73
132	648816	FBXO7	44
133	656571	FLJ20464	2
134	656926	FLJ41941	8
135	658335	FLJ44385	1
136	658512	FOXRED2	19
137	661863	GAB4	38
138	668554	GAL3ST1	6
139	669611	GALR3	3
140	670142	GAS2L1	6
141	671200	GCAT	19
142	674549	GGA1	10
143	676310	GGT1	25
144	680725	GGT5	15
145	683368	GGTLC2	10
146	685134	GNB1L	44
147	692883	GP1BB	3
148	693412	GRAMD4	30
149	698695	GRAP2	15
150	701338	GSC2	11
151	703275	GSTT1	14
152	705740	GSTT2	5
153	706621	GSTTP2	2
154	706974	GTPBP1	11
155	708915	GTSE1	14
156	711385	GUCD1	10
157	713148	GUSBP11	3
158	713677	H1F0	6
159	714736	HDAC10	10
160	716499	HIC2	12
161	718614	HIRA	18
162	721783	HMGXB4	15
163	724432	HMOX1	19
164	727777	HORMAD2	20
165	731304	HORMAD2-AS1	4
166	732009	HPS4	26
167	736586	HSCB	5
168	737471	HSFY1P1	4
169	738176	IFT27	22
170	742052	IGLL1	9
171	743637	IGLL5	1
172	743814	IL17RA	49
173	752443	IL17REL	19
174	755790	IL2RB	43
175	763364	INPP5J	14
176	765837	ISX	25
177	770244	ISX-AS1	45
178	778165	JOSD1	4
179	778870	KCNJ4	11
180	780807	KCTD17	17
181	783804	KDELR3	12
182	785919	KIAA0930	33
183	791728	KIAA1644	92
184	807923	KIAA1656	5
185	808808	KIAA1671	54
186	818313	KLHDC7B	14
187	820782	KLHL22	17
188	823779	KREMEN1	35
189	829942	L3MBTL2	22
190	833815	LARGE	217
191	872012	LDOC1L	32
192	877647	LGALS1	6
193	878706	LGALS2	9
194	880291	LIF	11
195	882230	LIMK2	26
196	886819	LINC00207	3
197	887348	LINC00229	36
198	893685	LINC00528	2
199	894038	LINC00634	5
200	894919	LINC00896	2
201	895272	LINC00898	51
202	904249	LINC01310	179
203	935754	LINC01422	46
204	943851	LL22NC01-81G9.3	14
205	946316	LMF2	16
206	949140	LOC100134361	4
207	949845	LOC100506679	1
208	950022	LOC100506737	9
209	951607	LOC100506813	4
210	952312	LOC100506877	100
211	969913	LOC100506917	2
212	970266	LOC100507599	1
213	970443	LOC100507657	4
214	971148	LOC100996342	2
215	971501	LOC100996404	16
216	974318	LOC100996415	1
217	974495	LOC100996524	4
218	975200	LOC101927183	7
219	976433	LOC101927202	3
220	976962	LOC101927526	27
221	981715	LOC101927859	1
222	981892	LOC101928891	2
223	982245	LOC101929350	13
224	984534	LOC101929374	1
225	984711	LOC101929416	1
226	984888	LOC101929760	2
227	985241	LOC284865	4
228	985946	LOC284889	4
229	986651	LOC284898	5
230	987532	LOC284930	72
231	1000209	LOC339666	5
232	1001090	LOC339685	16
233	1003907	LOC388849	13
234	1006196	LOC388882	23
235	1010245	LOC400891	8
236	1011654	LOC648691	3
237	1012183	LRP5L	39
238	1019054	LZTR1	23
239	1023111	MAFF	4
240	1023816	MAPK1	18
241	1026985	MAPK11	6
242	1028042	MAPK12	13
243	1030338	MAPK8IP2	6
244	1031395	MB	10
245	1033156	MCAT	12
246	1035273	MCHR1	18
247	1038442	MCM5	41
248	1045669	MED15	13
249	1047960	MEI1	25
250	1052366	MFNG	9
251	1053955	MGAT3	15
252	1056596	MIAT	13
253	1058885	MICAL3	135
254	1082670	MICALL1	11
255	1084611	MIEF1	17
256	1087611	MIF	2
257	1087964	MIOX	14
258	1090435	MIR3928	2
259	1090788	MKL1	43
260	1098371	MLC1	28
261	1103302	MMP11	6
262	1104361	MN1	70
263	1116687	MORC2	17
264	1119688	MORC2-AS1	1
265	1119865	MOV10L1	49
266	1128502	MPPED1	37
267	1135019	MPST	7
268	1136254	MRPL40	6
269	1137313	MTFP1	11
270	1139254	MTMR3	46
271	1147363	MYH9	158
272	1175239	MYO18B	233
273	1216294	NAGA	13
274	1218587	NCAPH2	21
275	1222290	NCF4	32
276	1227925	NDUFA6	1
277	1228102	NDUFA6-AS1	47
278	1236383	NEFH	27
279	1241144	NF2	52
280	1250301	NFAM1	25
281	1254706	NHP2L1	2
282	1255059	NIPSNAP1	15
283	1257704	NOL12	8
284	1259117	NPTXR	13
285	1261406	NUP50	8
286	1262815	NUP50-AS1	5
287	1263696	ODF3B	8
288	1265105	OGFRP1	1
289	1265282	OSBP2	53
290	1274615	OSM	12
291	1276730	P2RX6	10
292	1278495	P2RX6P	3
293	1279024	PACSIN2	46
294	1287129	PANX2	4
295	1287834	PARVB	103
296	1305967	PARVG	21
297	1309664	PATZ1	2
298	1310017	PDGFB	36
299	1316354	PDXP	10
300	1318121	PES1	30
301	1323414	PEX26	28
302	1328350	PHF21B	120
303	1349474	PHF5A	4
304	1350179	PI4KA	22
305	1354056	PICK1	7
306	1355289	PIK3IP1	6
307	1356346	PIM3	25
308	1360751	PISD	16
309	1363571	PITPNB	8
310	1364982	PIWIL3	35
311	1371155	PKDREJ	32
312	1376800	PLA2G3	27
313	1381559	PLA2G6	51
314	1390540	PLXNB2	33
315	1396357	PMM1	4
316	1397064	PNPLA3	36
317	1403412	PNPLA5	15
318	1406059	POLDIP3	12
319	1408172	POLR2F	8
320	1409583	POLR3H	5
321	1410466	POM121L4P	2
322	1410821	POM121L8P	5
323	1411702	PPARA	68
324	1423687	PPIL2	22
325	1427562	PPM1F	15
326	1430209	PPP6R2	38
327	1436904	PRAME	12
328	1439023	PRAMENP	14
329	1441488	PRODH	30
330	1446773	PRR14L	29
331	1451890	PRR34	6
332	1452947	PRR5	56
333	1462808	PVALB	27
334	1467563	RAB36	17
335	1470563	RABL2B	1
336	1470740	RAC2	33
337	1476550	RANBP1	1
338	1476727	RANGAP1	14
339	1479198	RASD2	32
340	1484831	RASL10A	1
341	1485008	RBFOX2	26
342	1489585	RBX1	9
343	1491170	RFPL1	3
344	1491699	RFPL1S	6
345	1492756	RFPL2	16
346	1495573	RFPL3	8
347	1496982	RFPL3S	5
348	1497863	RGL4	14
349	1500330	RHBDD3	4
350	1501037	RIBC2	14
351	1503504	RIMBP3B	1
352	1503681	RNF185	3
353	1504210	RNF215	9
354	1505797	RNU12	1
355	1505974	RPL3	14
356	1508445	RPS19BP1	8
357	1509854	RRP7A	16
358	1512673	RRP7B	2
359	1513026	RTCB	16
360	1515845	RTDR1	32
361	1521484	RTN4R	31
362	1526943	SAMM50	21
363	1530642	SBF1	29
364	1535755	SCARF2	8
365	1537164	SCO2	17
366	1540159	SCUBE1	115
367	1560418	SDC4P	1
368	1560595	SDF2L1	5
369	1561476	SEC14L2	4
370	1562181	SEC14L3	18
371	1565350	SEC14L4	25
372	1569759	SEC14L6	10
373	1571522	SELM	6
374	1572579	SELO	18
375	1575754	SEPT3	7
376	1576989	SERHL	2
377	1577342	SERHL2	5
378	1578227	SERPIND1	14
379	1580697	SEZ6L	101
380	1598486	SF3A1	8
381	1599899	SFI1	38
382	1606597	SGSM1	70
383	1618924	SGSM3	23
384	1622989	SH3BP1	25
385	1627402	SHANK3	50
386	1636203	SHISA8	2
387	1636556	SLC16A8	10
388	1638321	SLC25A1	3
389	1638850	SLC25A17	6
390	1639909	SLC25A18	19
391	1643256	SLC2A11	18
392	1646425	SLC35E4	9
393	1648010	SLC5A1	26
394	1652591	SLC5A4	29
395	1657708	SLC7A4	17
396	1660703	SMARCB1	21
397	1664400	SMC1B	22
398	1668281	SMDT1	3
399	1668810	SMTN	39
400	1675695	SNAP29	12
401	1677808	SNRPD3	5
402	1678689	SOX10	7
403	1679926	SPECC1L	27
404	1684683	SREBF2	34
405	1690678	SRRD	7
406	1691915	SSTR3	19
407	1695264	ST13	10
408	1697025	SULT4A1	30
409	1702310	SUN2	29
410	1707427	SUSD2	17
411	1710430	SYCE3	6
412	1711487	SYN3	173
413	1741938	SYNGR1	21
414	1745638	TAB1	17
415	1748638	TANGO2	19
416	1751985	TBC1D10A	7
417	1753218	TBC1D22A	192
418	1787017	TBX1	43
419	1794596	TCF20	44
420	1802349	TCN2	25
421	1806757	TEF	11
422	1808694	TEX33	9
423	1810281	TFIP11	11
424	1812220	THAP7	4
425	1812927	THAP7-AS1	7
426	1814160	THOC5	14
427	1816629	TIMP3	14
428	1819094	TMEM184B	28
429	1824029	TMEM211	3
430	1824558	TMPRSS6	44
431	1832310	TNFRSF13C	2
432	1832663	TNRC6B	54
433	1842178	TOB2	2
434	1842531	TOM1	22
435	1846408	TOP3B	27
436	1851175	TPST2	27
437	1855934	TPTEP1	9
438	1857519	TRABD	9
439	1859106	TRIOBP	56
440	1868985	TRMT2A	11
441	1870927	TRMU	14
442	1873396	TSPO	9
443	1874983	TST	6
444	1876042	TTC28	112
445	1895779	TTC28-AS1	7
446	1897012	TTC38	12
447	1899127	TTLL1	31
448	1904592	TTLL12	33
449	1910405	TUBA3FP	4
450	1911110	TUBA8	25
451	1915519	TUBGCP6	26
452	1920106	TUG1	1
453	1920283	TXN2	5
454	1921164	TXNRD2	38
455	1927859	TYMP	8
456	1929268	UBE2L3	19
457	1932615	UFD1L	7
458	1933848	UPB1	31
459	1939315	UPK3A	23
460	1943372	UQCR10	4
461	1944077	USP18	10
462	1945838	USP41	5
463	1946721	VPREB1	15
464	1949364	VPREB3	5
465	1950245	WBP2NL	17
466	1953246	WNT7B	70
467	1965571	XBP1	3
468	1966100	XKR3	19
469	1969448	XPNPEP3	104
470	1987834	XRCC6	9
471	1989423	YDJC	8
472	1990834	YPEL1	12
473	1992949	YWHAH	8
474	1994358	ZBED4	23
475	1998415	ZC3H7B	19
476	2001762	ZDHHC8	6
477	2002819	ZDHHC8P1	19
478	2006164	ZMAT5	7
479	2007397	ZNF280A	32
480	2013044	ZNF280B	8
