chr	pos_ini	pos_fin	GENE
22	16162065	16172265	BMS1P17
22	16162065	16172265	BMS1P18
22	16256331	16287937	POTEH
22	16274608	16277577	POTEH-AS1
22	16448823	16449804	OR11H1
22	17071647	17073700	CCT8L2
22	17082800	17129720	TPTEP1
22	17134598	17156430	ANKRD62P1-PARP4P3
22	17264305	17302584	XKR3
22	17308363	17310225	HSFY1P1
22	17442826	17489112	GAB4
22	17517459	17539682	CECR7
22	17565848	17596584	IL17RA
22	17597188	17602257	CECR6
22	17602484	17612994	LOC100996342
22	17618409	17646177	CECR5
22	17640278	17646335	CECR5-AS1
22	17659679	17702744	CECR1
22	17737749	17747623	CECR3
22	17840838	18037856	CECR2
22	18043182	18073647	SLC25A18
22	18062922	18071958	LOC101929372
22	18074902	18111588	ATP6V1E1
22	18121349	18213621	BCL2L13
22	18216905	18257431	BID
22	18246945	18247025	MIR3198-1
22	18260055	18262247	LINC00528
22	18270415	18507325	MICAL3
22	18463633	18463727	MIR648
22	18512150	18520734	FLJ41941
22	18560685	18573797	PEX26
22	18593452	18614498	TUBA8
22	18632757	18660162	USP18
22	18761201	18779474	GGT3P
22	18893735	18899601	DGCR6
22	18900286	18924066	PRODH
22	18958010	19018755	DGCR5
22	19005346	19007761	DGCR9
22	19010136	19011063	DGCR10
22	19023794	19109967	DGCR2
22	19033674	19035888	DGCR11
22	19117791	19132190	DGCR14
22	19118320	19120136	TSSK2
22	19136503	19137796	GSC2
22	19159218	19160345	LINC01311
22	19163087	19166376	SLC25A1
22	19166986	19279239	CLTCL1
22	19318223	19419219	HIRA
22	19420035	19423596	MRPL40
22	19428409	19435755	C22orf39
22	19437463	19466738	UFD1L
22	19467348	19508135	CDC45
22	19510546	19512860	CLDN5
22	19553652	19554362	LINC00895
22	19701986	19710845	sep-05
22	19704742	19712297	SEPT5-GP1BB
22	19711065	19712297	GP1BB
22	19744225	19771112	TBX1
22	19775933	19842462	GNB1L
22	19833660	19842371	C22orf29
22	19863040	19929515	TXNRD2
22	19929262	19957498	COMT
22	19951275	19951357	MIR4761
22	19957401	20004309	ARVCF
22	20004522	20053449	TANGO2
22	20020661	20020743	MIR185
22	20067754	20099400	DGCR8
22	20073268	20073356	MIR3618
22	20073580	20073665	MIR1306
22	20099388	20104818	TRMT2A
22	20102208	20102274	MIR6816
22	20103460	20114880	RANBP1
22	20119363	20135530	ZDHHC8
22	20136108	20137431	LOC388849
22	20186252	20192441	LOC284865
22	20193854	20196060	LINC00896
22	20228937	20255816	RTN4R
22	20236656	20236734	MIR1286
22	20301760	20307628	DGCR6L
22	20377668	20380440	TMEM191B
22	20383730	20398695	PI4KAP1
22	20455993	20461786	RIMBP3
22	20748404	20762753	ZNF74
22	20778873	20792146	SCARF2
22	20795805	20850170	KLHL22
22	20861885	20941919	MED15
22	21043842	21046009	POM121L4P
22	21055401	21058891	TMEM191A
22	21061978	21213100	PI4KA
22	21128382	21142008	SERPIND1
22	21213291	21245501	SNAP29
22	21271713	21308037	CRKL
22	21311379	21318968	LOC101928891
22	21319417	21335649	AIFM3
22	21336557	21353326	LZTR1
22	21354060	21356404	THAP7
22	21356210	21364663	THAP7-AS1
22	21362495	21368576	TUBA3FP
22	21369441	21382302	P2RX6
22	21383006	21386847	SLC7A4
22	21396680	21398538	P2RX6P
22	21400248	21418457	LOC400891
22	21457304	21476575	BCRP2
22	21521191	21546445	FAM230B
22	21636713	21652015	POM121L8P
22	21737662	21743455	RIMBP3C
22	21738039	21743455	RIMBP3B
22	21771692	21805750	HIC2
22	21821458	21824224	TMEM191C
22	21827286	21871780	PI4KAP2
22	21899957	21905373	RIMBP3B
22	21899957	21905750	RIMBP3C
22	21903735	21978323	UBE2L3
22	21982377	21984340	YDJC
22	21987085	21991616	CCDC116
22	21996541	21998588	SDF2L1
22	22007269	22007347	MIR301B
22	22007592	22007674	MIR130B
22	22020272	22052202	PPIL2
22	22051825	22090071	YPEL1
22	22113946	22221970	MAPK1
22	22273791	22307250	PPM1F
22	22311396	22337240	TOP3B
22	22599199	22599926	VPREB1
22	22652462	22677324	BMS1P20
22	22838771	22863505	ZNF280B
22	22868060	22874624	ZNF280A
22	22890117	22901768	PRAME
22	22901749	22909004	LOC648691
22	22974027	22987012	POM121L1P
22	22987090	22990368	GGTLC2
22	23165269	23165365	MIR650
22	23229959	23238013	IGLL5
22	23401592	23484241	RTDR1
22	23412668	23467221	GNAZ
22	23487512	23506531	RAB36
22	23522551	23660224	BCR
22	23604953	23607186	FBXW4P1
22	23701792	23724313	CES5AP1
22	23732791	23744799	ZDHHC8P1
22	23775750	23777258	LOC101929374
22	23804268	23829167	LOC388882
22	23915312	23922495	IGLL1
22	23950638	23974508	DRICH1
22	23980674	24059610	GUSBP11
22	24033047	24041363	RGL4
22	24083771	24093279	ZNF70
22	24094929	24096630	VPREB3
22	24105207	24108050	C22orf15
22	24108020	24110141	CHCHD10
22	24115035	24126503	MMP11
22	24129149	24176705	SMARCB1
22	24176689	24181199	DERL3
22	24198889	24228299	SLC2A11
22	24235896	24241117	LOC284889
22	24236564	24237409	MIF
22	24299600	24303368	GSTT2B
22	24299600	24303393	GSTT2
22	24309025	24314748	DDTL
22	24313553	24322019	DDT
22	24322313	24326106	GSTT2
22	24322338	24326106	GSTT2B
22	24340594	24347258	GSTTP1
22	24373116	24374043	LOC391322
22	24376138	24384284	GSTT1
22	24385937	24401899	GSTTP2
22	24407764	24574596	CABIN1
22	24577443	24585074	SUSD2
22	24615621	24641110	GGT5
22	24647588	24661492	POM121L9P
22	24666784	24813708	SPECC1L
22	24666784	24838328	SPECC1L-ADORA2A
22	24819564	24838328	ADORA2A
22	24825177	24890783	ADORA2A-AS1
22	24891250	24922553	UPB1
22	24936390	24951903	GUCD1
22	24951617	24970932	SNRPD3
22	24979717	25024972	GGT1
22	24981590	24989035	LRRC75B
22	25028881	25049327	BCRP3
22	25041132	25055114	POM121L10P
22	25115000	25170687	PIWIL3
22	25160467	25161986	TOP1P2
22	25202135	25322813	SGSM1
22	25331207	25335314	TMEM211
22	25423940	25593415	KIAA1671
22	25498383	25508659	LOC100128531
22	25595816	25603326	CRYBB3
22	25615611	25627836	CRYBB2
22	25714223	25716193	IGLL3P
22	25747384	25777544	LRP5L
22	25844053	25857645	CRYBB2P1
22	25851612	25851678	MIR6817
22	25960860	26125258	ADRBK2
22	26138119	26427007	MYO18B
22	26565439	26779563	SEZ6L
22	26825279	26840978	ASPHD2
22	26846848	26879829	HPS4
